title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
,,,,,,
Nepal vs Laos (AFC Solidarity Cup 2016: Semi-final),kgTjZ-VnRSs,340682,2448,98,97,0
,,,,,,
30 Days In Nepal,zbziahTLPAY,881773,6908,166,1012,0
,,,,,,
Eastern Nepal Pranking Tour (vlog !),5ws3XTWb5tg,2502,133,10,22,0
,,,,,,
Unchaining Captive Elephants in Nepal | National Geographic,Zz5zEZFBi6A,11605,668,7,106,0
,,,,,,
48 Hours in Nepal 2016: Kathmandu and Beyond,lB9cuOuZL1Y,31611,1631,6,181,0
,,,,,,
"bishvkp krikettmaa nepaal ?? Nepal In Worldcup Criket, Is it Possible ?",lchl5B8oR1w,2378,58,1,0,0
,,,,,,
How Powerful Is Nepal?,QRdWdm4xRvw,600051,10841,721,4332,0
,,,,,,
nepaalle diyo bhaart laaii ysto jhddkaa bhaartmaa mcciyo hNgaamaa Nepal India,n1-KqRxyLGU,34710,606,20,129,0
,,,,,,
Nepal in FIFA World Cup? Nepal Reacts! Brought to you by Cheers.,bwjx8HXitjw,14346,337,4,61,0
,,,,,,
10 Real Facts About Nepal,jEfcWp6Dqis,27902,1286,38,618,0
,,,,,,
"Nepal meN bhii rokii gii 500, 1000 kii India Currency",8xWDUugFsKM,236480,609,61,190,0
,,,,,,
maagne buddhaa bhettie khushii mudraamaa - Kedar Ghimire Magne Budha And Jitu Nepal | Canada Nepal,3DUNop3SCyk,11513,136,4,10,0
,,,,,,
Pak ke 'Chai wala' ke baad ab Nepal kii 'Veggie Seller' kii Picture Viral,acPoSxZXeTs,452708,3225,281,385,0
,,,,,,
Nepal vs Brunei Darussalam (AFC Solidarity Cup 2016: Group Stage),JuCvbyEimVg,234710,1574,63,53,0
,,,,,,
Nepal hit hard by India's demonetisation move,yvLWdFjneLA,51588,137,33,128,0
,,,,,,
Documentary in Nepal: Living on a Dollar a Day,on-0PYf-m9s,530309,7772,244,1279,0
,,,,,,
5 Most Attractive Women Of Nepal,KohWDoiCKiM,685819,3576,705,768,0
,,,,,,
Nepal VS Japan 1- 0 || Charity Football Match 2016 ||,ehEiCJTsfnE,75473,364,16,17,0
,,,,,,
The Nepal Documentary,dW5kRBq30m4,1198351,0,0,0,0
,,,,,,
Indian President Visits Nepal | VVIP svaarii | Nepal Reacts!  Brought to you by Cheers!,eKjHoCp-Us8,74382,1544,102,360,0
,,,,,,
Nepal VS Friends Of Japan 1-0 | Highlights | Charity Match 2016,IBbh4EUP7mE,53594,323,9,9,0
,,,,,,
Timor Leste vs Nepal (AFC Solidarity Cup 2016: Group Stage),2XcoakT0Sm4,177995,1007,68,34,0
,,,,,,
Nepal earthquake 2015/2072- cctv footage,9h9EdWopTi0,2748952,2706,733,412,0
,,,,,,
"I'm so sorry, Nepal (YOUR GRAMMAR SUCKS #107)",FCBSMg5yivg,1382858,54314,11458,13267,0
,,,,,,
"Samaye Sandharbha with Nabina Lama by Danda Gurung, ABC NEWS, NEPAL",OAir0XGrw0w,521,7,4,0,0
