title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Google Earth: Saroo's Search,38iahxZCAQU,54713,3068,37,353,0
#madebygoogle,q4y0KOeXViI,3795902,49145,4583,2710,0
Introducing PhotoScan by Google Photos,MEyDt0DNjWU,1575264,21638,401,1662,0
"Google & Facebook Target ""Fake News""-Ignore Establishment News Even Worse",K_T7mTTg5Uw,9337,1019,12,357,0
"Introducing Pixel, Phone by Google",Rykmwn0SMWU,12947239,179303,9606,25148,0
"GOOGLE DOCTOR | Amanda Cerny, George Janko & Lourdes Gonzalez",bVPf6cSvJQA,583273,27266,1161,1494,0
30 Disturbing Things Found on Google Maps,1idMFbHqaWA,33345298,126600,19870,14858,0
Smartphone Introuvable et Rare : Google Pixel XL ! (Unboxing),i3Z_78PTf1o,118799,6750,257,1074,0
7 New Google Gadgets You Should Buy,71SbR2w3LP4,403668,2040,290,192,0
Google Pixel Impressions!,XGFQOZ_owtc,4331132,77454,1787,14196,0
Coolest Office Ever? (Google Office Tour) - Hype Hunt: EP18,HBe6XUFvtRY,115097,3814,30,229,0
5 Secret Places Censored on Google Maps,kn2tYSiWo3U,5573228,17041,4483,3643,0
Google Pixel - October 4th Full Announcement,yhsd2F8BIz0,576678,3063,385,1351,0
If Google Was A Girl,bleoEAqhOpg,12032166,337620,13014,24797,0
5 Hilarious Things Invented by Google,DjxEhLTRtPY,2038841,21715,3598,6526,0
Google's Pixel phone event in 10 minutes,p1qHV6ReJLI,491739,6568,247,1034,0
If Google Was A Guy,YuOBzWF0Aws,31405650,312478,4606,10913,0
"Google Wifi: Home Wi-Fi, simply solved",vPqslcwZ8Kk,196012,3170,83,267,0
Google Earth VR -- Bringing the whole wide world to virtual reality,SCrkZOx5Q1M,928839,8616,92,997,0
Top 15 Imagenes Escalofriantes De Google Maps,R9dEIG1jUPE,14899553,56529,8390,3306,0
Top 10 Most Searched Things On Google 2015,7RuouCjS2DU,613034,6228,1071,1152,0
The Google Popup Store in NYC!,iuOslAj9-5A,685603,30718,424,1934,0
10 Things You Should NEVER Google,tElzS3yFAJM,11498975,50724,4899,17911,0
Google Daydream View VR headset review,7Fb9cqBzY5w,146800,2625,95,315,0
